ID,Name,Gender,Age,OverAllRating,ReviewType,ReviewTitle,Benefits,Money,Experience,Purchase,claimsProcess,SpeedResolution,Fairness,ReviewDate,Review,Recommend,ColCount,,,,
433,Rah2267,Female,45 to 54,5,Claim review,Great service throughout,NA,NA,5,NA,5,5,5,23/01/2014,After 21 years as a house owner this was the first time I had made an insurance claim and I thought it would be a lot less straightforward than it actually was. My roof was badly damaged in the recent gales after a large chimney pot was blown off I telephoned the claims line and was dealt with in a very efficient & professional but sympathetic manner. The whole process was very quick and trouble free I was certainly surprised after some of the horror stories I have heard from people about their experiences with insurance claims. I would gladly recommend  home insurance as they certainly made what was a stressful event especially as it occurred just before Christmas as pain free as possible. Thank you to all the claims people I had contact with you did a great job.,I would recommend  to a friend,18,,,,
434,showmewheretosign,Male,45 to 54,5,Buyer review,Overall experience,5,5,5,5,NA,NA,NA,23/01/2014,Great online experience followed up by phone calls from the service team no hard sell polite and UK based call centres. Easy to do comparisons on like for like quotes with existing insurance. Tie it in with your car insurance and see the savings straight away. Really pleased how everything was sorted out no fuss no hassle no nonsense. Happy Days,I would recommend  to a friend,18,,,,
435,Rani,Female,45 to 54,5,Buyer review,Car and Home Insurance,4,4,5,5,NA,NA,NA,23/01/2014,I have just completed my first year of car insurance with . The experience I have had with customer service has been one of caring and understanding. I have renewed my car insurance and have taken out home insurance with  as well now. I faced some difficulties with payments one month  was very supportive with this situation.,I would recommend  to a friend,18,,,,
436,bigbirdbourne,Female,55 to 64,5,Claim review,Pretty Fair Experience,NA,NA,4,NA,5,5,4,23/01/2014,Just one phone call was necessary to put the claim into action. Not too long to wait for the assessor who was more than helpful and explained procedures to me. Settlement of the claim was pretty prompt too.,NA,18,,,,
437,Joed,Female,65 or over,5,Buyer review,No problems at all,5,5,5,5,NA,NA,NA,23/01/2014,Quick and efficient ! Have car ins and house insurance. Will re insure with  next time,I would recommend  to a friend,18,,,,
438,NA,Female,45 to 54,5,Claim review,Fantastic service,NA,NA,5,NA,5,5,5,23/01/2014,Fantastic service compared to previous experience with my own assigned contact Stacey.,I would recommend  to a friend,18,,,,
439,Razzell,Female,55 to 64,5,Buyer review,Excellent value for money,4,5,5,5,NA,NA,NA,22/01/2014,After using  for my car insurance I decided to ask for a quote for my house & contents. Im so glad I did I have now purchase my insurance with  leaving loads of allotted money still in the bank.,I would recommend  to a friend,18,,,,
440,happycyclist,Male,45 to 54,4,Claim review,Stolen mountain bike,NA,NA,4,NA,4,4,5,22/01/2014,Very easy claim process satisfied with replacement through online supplier.,I would recommend  to a friend,18,,,,
441,Titch,Female,65 or over,5,Buyer review,Quick efficient on line service,5,5,5,5,NA,NA,NA,22/01/2014,Informative website. Very easy to use. It gave me all the information I needed in order for me to decide what I wanted for my home insurance. Would always recommend  for home insurance in the future.,I would recommend  to a friend,18,,,,
442,helpful,Female,45 to 54,5,Claim review,very helpful,NA,NA,5,NA,5,5,5,22/01/2014,have been with this company for many many years and they have always been more than helpful understanding and prompt,I would recommend  to a friend,18,,,,
443,shazlerd,Male,45 to 54,5,Claim review, is a fantastic insurance provider,NA,NA,5,NA,5,4,5,22/01/2014,Thanks to the team at   what was a bad flood in my kitchen just before christmas was resolved and a new floor fitted in time for a family get together. All was achieve d with the minimal fuss. Many thanks ,I would recommend  to a friend,18,,,,
444,Joejack62,Male,45 to 54,5,Claim review,Very good with my claim,NA,NA,4,NA,4,5,5,22/01/2014,Very good quick claim can not fault  in any way got money payed back into my account within 7 days of me paying roofer to retile my roof 10/10,I would recommend  to a friend,18,,,,
445,Enochmc,Male,65 or over,5,Claim review,Proffesionalism that the lay-man understands,NA,NA,5,NA,5,5,5,22/01/2014,the  staff who received my first call were very pleasant in doing their job and easy to understand,I would recommend  to a friend,18,,,,
446,miscreant,Female,65 or over,4,Buyer review,Thank you ,4,5,5,5,NA,NA,NA,21/01/2014,Finding it hard to get the right sort of insurance but NO problem with  and a very reasonable price A firm thatb is also very easy to communicate with over the phone.,I would recommend  to a friend,18,,,,
447,AutisticA,Female,45 to 54,1,Claim review,Bad Experience,NA,NA,1,NA,1,1,2,21/01/2014,To be honest I wouldnt recommend . The process was disjointed the claim was not processed properly TWICE and I was constantly having to chase it up. The only good thing about the whole thing was the company  use for their replacement items - they were quite efficient. I was compensated for the screw-ups but I would rather have had it managed properly in the first place. The claim took around 3 weeks to process - far too long.,NA,18,,,,
448,bistokid,Male,65 or over,5,Claim review,excellent service,NA,NA,5,NA,5,5,5,21/01/2014,i am very pleased with the fast responce and settlment of my insurance claim after a break in at my housewhere damage was done and items were stolen.the responce by my insurance  was very good and reassuring.i would gladly reccomend  to anyone. thanks. bistokid.,I would recommend  to a friend,18,,,,
449,Massi,Male,45 to 54,4,Buyer review,Massi,4,5,5,5,NA,NA,NA,21/01/2014,Great cheap and all the Requirements inclusive in one policy,I would recommend  to a friend,18,,,,
450,mrshappy,Female,45 to 54,5,Buyer review,very happy,5,5,5,5,NA,NA,NA,21/01/2014, make it very easy for you to purchase insurance from them and when it comes to making a claim they are sympathetic as well as professional . I have 2 policies with them pet and house insurance and they have been very competitive.,I would recommend  to a friend,18,,,,
451,Guitarplayer,Male,65 or over,4,Buyer review,Ease of use,4,5,5,5,NA,NA,NA,21/01/2014,A very user friendly website to navigate representing excellent value for money.,I would recommend  to a friend,18,,,,
452,bettyboop123,Female,55 to 64,5,Claim review,great customer service,NA,NA,5,NA,5,5,5,21/01/2014,my claim was dealt with quickly. I received phone calls back at the time/day I was told. Everything was explained to me clearly.  were very efficient in handling my claim.,I would recommend  to a friend,18,,,,
453,BathBoy,Male,NA,4,Buyer review,Great Service,4,5,5,5,NA,NA,NA,21/01/2014,First class service on each phone call everyone without exception has been most helpful and courteous. Highly recommended.,I would recommend  to a friend,18,,,,
454,aitch,Male,65 or over,5,Buyer review,Excellent web site,5,5,5,5,NA,NA,NA,20/01/2014,Particularly good as I had taken out two car insurances - which in themselves were very competitive - and (near enough) matched a quote from a competitor for home insurance. So in conclusion three policies all at very keen prices!,I would recommend  to a friend,18,,,,
455,wishbone999,Male,55 to 64,5,Buyer review,Building and Contents and away from home,5,5,5,5,NA,NA,NA,20/01/2014,"Great service at a very reasonable price. Almost half of what I payed with my previous Insurers. Highly recomended.
Very polite person offered all the information I needed to make the right choice.",I would recommend  to a friend,18,,,,
456,picamix2u,Male,55 to 64,3,Buyer review,Not impressed,3,3,1,3,NA,NA,NA,19/01/2014,I was informed on purchase months ago that I would receive a ﾣ3o Marks & Spencer voucher to date I have received nothing,NA,18,,,,
457,Jamie,Male,65 or over,5,Buyer review,Home/contents,5,4,4,5,NA,NA,NA,19/01/2014,"I normally use comparison sites but thought Id try  as cost is important at my age (72).Iwas pleased as I saved money on a similar policy.
Renewing was straightforward and I was pleased with the result.",I would recommend  to a friend,18,,,,
458,Twiggy,Male,45 to 54,5,Buyer review,Great service,5,5,5,5,NA,NA,NA,19/01/2014,Great customer service and easy to understand and would have no problem recommending your services to my friends.,I would recommend  to a friend,18,,,,
459,Maria,Female,55 to 64,4,Buyer review,Quick and easy to do online,NA,NA,NA,NA,NA,NA,NA,19/01/2014,Quick and easy to do online cant do a proper review as havent to make a claim,I would recommend  to a friend,18,,,,
460,Jabber,Female,55 to 64,5,Buyer review,Viva !!!! Excellent service,4,4,5,5,NA,NA,NA,19/01/2014,Within hours of making enquiries about building and contents insurance on the internet I received a phone call from . The operative was very helpful and answered all my questions. I am very pleased with my package and s service. Jabber,I would recommend  to a friend,18,,,,
461,ladyvicar,Female,65 or over,4,Buyer review,customer focus,4,5,5,5,NA,NA,NA,19/01/2014,Our home renewal was due and after going on line and finding the  website it was made so easy to find all the information I needed to pick the right cover. The online form was uncomplicated to fill in and payment too. My whole experience renewing was the best one for a long time. And this was all followed by a phone call from a polite and well informed young man.,I would recommend  to a friend,18,,,,
462,Brummieboy,Male,45 to 54,5,Buyer review,Great Insurance,5,5,5,5,NA,NA,NA,19/01/2014,Very easy to set up online. Same cover as existing insurance cover but a lot cheaper,I would recommend  to a friend,18,,,,
463,Littlevoice,Female,45 to 54,5,Buyer review,Excellent price,5,5,5,5,NA,NA,NA,19/01/2014,I shop around every year for home and car insurance and nowadays I am not loyal. Ill move somewhere else for a pound or two cheaper a month , that may be about to change. I got a really good online quote which was followed up by a friendly and non pushy salesperson . Eventually I ended up with a much higher level of insurance than with my previous insurer (a large supermarket) and yet still cheaper per month. I have more peace of mind and the whole experience was easy and pleasant  even down to tailoring direct debit dates to suit me  which previous insurer wouldnt do. I agreed to receiving special deals via email and Ive already been sent some really good ones and realistic too  not pie in the sky. I look forward to receiving a car insurance quote when I need to renew. Many thanks great service.,I would recommend  to a friend,18,,,
464,morris66,Male,65 or over,5,Buyer review,great customer service,5,5,5,5,NA,NA,NA,18/01/2014,The young lady who dealt with my request and took my details was very efficient and friendly . The quote I received was very competitive and was accepted at once .,I would recommend  to a friend,18,,,,
465,Edifir,Male,55 to 64,3,Buyer review,Quite good only contact by e mail as insurance ordered on line,3,3,3,3,NA,NA,NA,18/01/2014,Well pleased at the quote. Heaven forbid but only a mis hap and the service given then will complete the satisfaction,I would recommend  to a friend,18,,,,
466,IMHO2014,Male,65 or over,5,Claim review,Great Claim Experience,NA,NA,5,NA,5,4,5,18/01/2014,I was a bit embarrassed to have to make a claim within a few months of first taking up  House Insurance but the experience couldnt have been simpler. It was all settled by dialogue and photographs and I was sent a cheque in settlement weeks before the work was actually carried out.,I would recommend  to a friend,18,,,,
467,moyjak,Male,55 to 64,5,Claim review,no problem,NA,NA,5,NA,5,5,5,17/01/2014,Good friendly service staff were very helpful and helped me through the procedure and sttled my claim promptly,I would recommend  to a friend,18,,,,
468,rupertg,Male,45 to 54,4,Claim review,good service all round,NA,NA,4,NA,4,4,4,17/01/2014,good service customer service kind and helpful claim went thew with speed and ease,I would recommend  to a friend,18,,,,
469,Sunrise,Male,65 or over,5,Buyer review,Easy,5,5,5,5,NA,NA,NA,17/01/2014,The online application form was very quick and easy to complete with a refreshing absence of complexity and jargon and the quote was very competitive. In addition the details shown in My Policy were laid out quite clearly and were easy to understand.,I would recommend  to a friend,18,,,,
470,millsy,Male,35 to 44,5,Buyer review,superb  saves the day,5,5,5,5,NA,NA,NA,16/01/2014, made all contents of the insurance policy plain and easy to understand. It was very clear and without confusion. You either accepted that particular area of cover or you didn`t so it was easy to know what was insured and what was not. Thank you !,I would recommend  to a friend,18,,,,
471,IDtwin,Female,55 to 64,5,Buyer review,Good cover,5,5,5,5,NA,NA,NA,15/01/2014,Good comprehensive cover great service concisely explained and a very competative premium with a further incentive for a continued competative premium when my car insurance is due later this year if I switch to  for car insurance too,I would recommend  to a friend,18,,,,
472,andinski,Male,45 to 54,5,Claim review,ease of help with dramas,NA,NA,5,NA,5,5,5,15/01/2014,out of recent experience  the turmoil created by something happening  where you really do need your insurance to help  was quickly calmed and reasured  and indeed promptly dealt with by staff who knew exactly what need to be done. great respect to you all ... the staff at  : ) ty,I would recommend  to a friend,18,,,,
473,bk3009,Female,55 to 64,5,Buyer review,Helpful agents,5,5,5,5,NA,NA,NA,15/01/2014,Not sure about a few questions regarding home insurance I rang to clarify my concerns. I was assisted by a very helpful lady who not only answered all my questions but sorted out a revised policy that exactly met my needs. Thank you,I would recommend  to a friend,18,,,,
474,FedUp,Male,55 to 64,1,Buyer review,Appalling IT,NA,NA,1,1,NA,NA,NA,15/01/2014,I have been unable to access my account due to log in problems despite a lengthy telephone call and two extremely lengthy online chat sessions  with no indication of when the  IT team will resolve the problem. This is completely unsatisfactory - over two hours wasted and still unable to log in.,NA,18,,,,
475,Waterbaby,Male,55 to 64,5,Claim review,Almost 100%,NA,NA,4,NA,5,5,5,15/01/2014,Excellent service all round. Suppliers chosen by  were efficient courteous accomodating & likeable. The only slightly negative comment I will make is the/my confusion regarding underlay. Written & verbal instructions were given about removing ALL carpet & furniture prior to fitters & new carpet turning up but no mention of what to do about underlay. Although it was agreed that all carpet would be replaced turned out that only underlay in the affected area was subject to replacement. Otherwise all good!!,I would recommend  to a friend,18,,,,
476,Asatisfiedinsured,Male,65 or over,5,Buyer review, insurance,5,5,5,5,NA,NA,NA,15/01/2014,No hassle excellent service reasonable prices often only bettered by search engines to win your business. With others watch out especially for small print & renewal premiums. With  its easy to contact a customer friendly company that cares.,I would recommend  to a friend,18,,,,
477,dai5448,Male,55 to 64,5,Buyer review,Excellent service,5,5,5,5,NA,NA,NA,15/01/2014,Really easy to use the on-line or telephone systems. Staff always polite helpful and knowledgeable.,I would recommend  to a friend,18,,,,
478,goody2shoes,Female,65 or over,5,Buyer review,Pleasure to Deal With,4,5,5,5,NA,NA,NA,14/01/2014,I made contact with  as we felt badly let down by our Insurer (both Building and Contents). Furthermore we are now covered for all eventualities we believe we may encounter and have saved a third in cost. We also have our Car Insurance with , again this is good value for the extensive cover provided. Our experience of dealing with  has always been First Class and we would recommend unreservedly.,I would recommend  to a friend,18,,,
479,grouse2,Male,65 or over,4,Buyer review,good service,4,5,4,4,NA,NA,NA,14/01/2014,dealing with  customer services was very easy and they answered all my questions promptly,I would recommend  to a friend,18,,,,
480,Walker,Male,65 or over,5,Claim review,Well Done,NA,NA,5,NA,5,5,5,14/01/2014,"My claim was for damage by an unknown driver to a flint boundary wall. Although it was a busy time following a major storm it was speedily dealt with. I was pleased that I could do everything by email including submitting photos of damage and you accepted my first quote.
I was also pleasantly surprised that you paid very speedily on the quotation without waiting till I had a receipt.",I would recommend  to a friend,18,,,,
481,welshy3r,Male,55 to 64,4,Buyer review,quality company,4,5,4,5,NA,NA,NA,14/01/2014,Have had  car insurance and made a claim service was great cant see why home insurance will be any different very pleased.,I would recommend  to a friend,18,,,,
482,Foggy,Male,45 to 54,5,Buyer review,Best Price for same cover,5,5,5,5,NA,NA,NA,13/01/2014,"Been with another major company for 5 years no claims made but they increased excess and premium. Shopping around I found the same cover required with minimum excess at  for less. I have car insurance with  and the service and price is excellent customer service very good.
Would recommend that you shop around but  for me have come up to be the cheapest for the cover required with ease to buy.",I would recommend  to a friend,18,,,,
483,keenknitter,Female,55 to 64,5,Buyer review,Value for money,5,5,5,5,NA,NA,NA,13/01/2014,Checked online first before making up my mind-as one does! An easy phone call the next day and the policy was in place. Very helpful staff who answered all questions clearly. Sent me an email copy of the policy and a paper one as requested,I would recommend  to a friend,18,,,,
484,tnr72,Female,35 to 44,4,Buyer review,easy to buy,3,4,4,5,NA,NA,NA,13/01/2014,Seems a reasonable level of cover for a competitive sum. Easy to buy and amend quote.,I would recommend  to a friend,18,,,,
485,regthedredge,Male,65 or over,5,Buyer review,Could not have been easier or the cover and cost better.,5,5,5,5,NA,NA,NA,13/01/2014,I found everything so simple and clearly displayed and expained which I have always received from  with all my other insurances arranged with them.,I would recommend  to a friend,18,,,,
486,Mouse,Female,45 to 54,5,Buyer review,Great customer service,5,5,5,5,NA,NA,NA,13/01/2014,I had a phone call after I initially had my quote to make sure the insurance policy met my needs. When I decided to take out the policy I rang the number given and went straight through to a very friendly and helpful adviser who arranged the policy for me very quickly and efficiently. By registering for the online service I received all my policy documents within minutes. I was very impressed by the service and would certainly recommend  to other potential customers.,I would recommend  to a friend,18,,,,
487,sbwarden,Male,65 or over,2,Claim review,small print catches,NA,NA,1,NA,2,2,1,13/01/2014,when I first put in my claim everything appeared to be going smoothly and the assessor arrive very promptly and as I thought confirmed that all would be well on my claim.However after a few days when contacted by the assessors office I was informed by the company that in their opinion the chair could not be economically repaired & would be replaced but only the 1 chair BUT the only problem with that would be that it would not match the other chairs so I subsequently cancelled my claim as I did not want a chair that did not match the set.So please read the small print which I obviously did not properly,NA,18,,,,
488,adjei,Male,35 to 44,4,Buyer review,good product,4,4,3,5,NA,NA,NA,13/01/2014,easy enough as it should be. i wold recommend the product to anyone. i have only just purchased it though.,I would recommend  to a friend,18,,,,
489,WestCumbrian,NA,55 to 64,5,Claim review,Superb Professional and Quick,NA,NA,5,NA,5,5,5,12/1/2014,I thought that there might be delays or problems sorting out my claim but  were brilliant. I quickly got through to a representative (no long telephone queues) who was professional and got all the details. All then that was required was an email to send the required photos and invoice and within a week the repairs done and I was reimbursed. I can thoroughly recommend .,I would recommend  to a friend,18,,,,
490,mommydearest,Female,65 or over,5,Buyer review,great value-great service,5,5,5,5,NA,NA,NA,12/1/2014,telephoned for home quotation-was easy and very helpful.,I would recommend  to a friend,18,,,,
491,Mazmay,Female,65 or over,2,Claim review,Claim not completed,NA,NA,1,NA,1,1,1,12/1/2014,The claim has not been completed. I sent a letter before Christmas stating it could become a complaint and have not had a reply. I have tried to call but due to the weather claims have not been able to get through. How can a drain with cracks be left without mending it? I am a very unhappy customer.,NA,18,,,,
492,mimenpwnage,Male,35 to 44,5,Claim review,So simple and straight forward,NA,NA,5,NA,5,5,5,12/1/2014,I made a claim for a damaged television. Did a claim online and sent a photo. 72 hours later i got an email to give them a call ( was during xmas ). So i did. Was on the phone for less than 10 mins and they had sorted it out and arranged to transfer the money into my account. I was astonished how helpful and polite the person i dealt with was. On top of the speed it was all sorted out... Great stuff indeed,I would recommend  to a friend,18,,,,
493,Dolly,Female,65 or over,4,Claim review,A Worry Into a Relief,NA,NA,5,NA,5,3,4,12/1/2014,My worry was having a flooded kitchen and a husband who had recently had a heart attack and was getting very agitated with how it was going to be sorted out. From my first phone call I was reassured that everything would be sorted out and every single person involved continued to confirm this. Although there was a slight hick-up we are now back to normal. Thanks to all concerned especially the gentleman who took my numerous phone calls. He took every concern seriously and dealt with it within minutes. Would recommend insurance with such a company.,I would recommend  to a friend,18,,,,
494,Satisfied,Female,55 to 64,5,Buyer review,Home Insurance,4,5,5,5,NA,NA,NA,12/1/2014,I found it really easy to buy my home insurance over the phone. The lady I spoke to was pleasant and helpful and didnt take long to deal with my application. Best of all our policy with  cost a lot less than our previous insurer had quoted us for renewal.,I would recommend  to a friend,18,,,,
495,dexta,Male,65 or over,5,Buyer review,excellent service,5,5,5,5,NA,NA,NA,12/1/2014,Since I have been dealing with  I have nothing but praise for the way they treat their customers,I would recommend  to a friend,18,,,,
496,Greyfox,Male,55 to 64,5,Buyer review,Good competitive comprehensive cover,5,5,5,5,NA,NA,NA,11/1/2014,"Good comprehensive Cover at a. great price !
What more could you ask !
And the customer service is superb",I would recommend  to a friend,18,,,,
497,silvergent,Male,65 or over,5,Claim review,satisfaction allround,NA,NA,4,NA,5,4,5,11/1/2014,From the surveyors visit onwardseverything went like clockwork and we knew what was going to happen and when.The contractors used were goodand at finish of day would let us know the following days schedule. All in all what could have been a stressful period was made much easier by .,I would recommend  to a friend,18,,,,
498,student,Female,45 to 54,5,Buyer review,clear and easy,5,5,5,5,NA,NA,NA,11/1/2014,We have had car insurance for several years with  why didnt we swap our house insurance till now dont hang around like us go to  now we saved and the process was clear and simple.,I would recommend  to a friend,18,,,,
499,NA,Male,45 to 54,5,Buyer review,Excellent service,NA,NA,NA,NA,NA,NA,NA,11/1/2014,I was with other company and paying more money. Last year I change car insurence with  than this month building insurance. with  great customer service.,I would recommend  to a friend,18,,,,
500,theodore,NA,NA,4,Buyer review,quick effective service via web and phone,4,5,5,5,NA,NA,NA,11/1/2014,easy purchase through fast clean simple clear website. good post-sale telephone support via quickly answered calls.,I would recommend  to a friend,18,,,,
501,tango123,Female,45 to 54,5,Buyer review,feed back,5,5,5,5,NA,NA,NA,10/1/2014,Great service and a great product and very quickly carried out,I would recommend  to a friend,18,,,,
502,outnumberedgirl,Female,45 to 54,5,Buyer review,house insurance,5,5,5,5,NA,NA,NA,10/1/2014,Very easy to set up & arrange what I needed. I havent had to claim yet so cant comment on that side of customer service.,I would recommend  to a friend,18,,,,
503,KatieB,Female,65 or over,5,Claim review,quick response and resolution,NA,NA,5,NA,5,5,5,10/1/2014,The assessor came the next day following the theft and clearly explained the procedure of obtaining estimates for the repair of the damage. Within 7 days an estimate was accepted and the money was in our account very quickly.,I would recommend  to a friend,18,,,,
504,MonkeyHanger,Male,45 to 54,4,Claim review,Fair settlement,NA,NA,4,NA,4,3,4,10/1/2014,I didnt get that much stolen a laptop 3 watches a sat nav money camera and tobacco and a TB external drive. I got paid out on everything apart from the tobacco and external hard drive. I dont know why the person dealing with me never mentioned it (bizarre really) Overhaul  managed the claim process easy and very friendly. I never had any issues with the speed of the claim or the decisions they made were very quick. I hope my insurance doesnt go up too much this year as I will stay with them if they are fair with me. (sure they will)???,I would recommend  to a friend,18,,,,
505,Oxonian,Male,65 or over,5,Buyer review,Better than expected,5,5,5,5,NA,NA,NA,10/1/2014,To get a much lower quote with all the benefits of a leading insurer was a nice surprise. It was easy to complete online and all the information was easy to understand.,I would recommend  to a friend,18,,,,
506,Moody,Male,65 or over,4,Buyer review,Good experience,4,4,4,5,NA,NA,NA,10/1/2014,An overall positive experience which comes from dealing with a quality company and their staff.,I would recommend  to a friend,18,,,,
507,Sparky,Male,45 to 54,5,Buyer review,Comprehensive policy clearly worded,5,4,5,5,NA,NA,NA,9/1/2014,My previous insurer made life difficult when I wanted to insure two laptop computers. They couldnt understand their own policy wording! A second insurer quoted a ridiculous premium when they found that our house was built in the 19th century.  was clear quick good value no hassles. The website to get quotes and to compare alternatives is second to none, telephone support was friendly and knowledgeable. I got a policy that covered more and cost less than the other two. Ive got no hesitation in recommending them.,I would recommend  to a friend,18,,,
508,lobo,Female,NA,4,Buyer review, returnee,5,5,5,3,NA,NA,NA,9/1/2014,Haive car insurance with  and now home insurance. Glitch when paying online for it but sales assistant knowledgeable and resulted in better product.,I would recommend  to a friend,18,,,,
509,Yorky,Male,55 to 64,5,Claim review,Speedy response and quick resolution.,NA,NA,5,NA,5,5,5,9/1/2014,I was really impressed by the speed with which we were able to resolve repair and secure our house roof following the recent gales. It undoubtedly helped that we could email pictures of the damage but it was massively reassuring the way it was dealt with by the claims advisor. It took away all our worries about the possiblity of further damage to our porperty at a very unpredictable time of year.Thank you .,I would recommend  to a friend,18,,,,
510,Bonamassa,Male,65 or over,4,Buyer review,A Really Good Product,4,4,4,5,NA,NA,NA,9/1/2014,"I was so impressed how good a service I have received over the past 2 years for my 2 car insurance
policy. That I have now purchased building and contents insurance for our home.
Signing up could not have been easier.",I would recommend  to a friend,18,,,,
511,Narnia,Female,65 or over,5,Claim review,Excellent customer service,NA,NA,4,NA,5,4,5,9/1/2014,Excellent customer service.Everybody I dealt with was so polite.They kept me informed as to how the claim was progressing.Completely satisfied with the service,I would recommend  to a friend,18,,,,
512,KJD26,Male,45 to 54,5,Claim review,Very Good,NA,NA,5,NA,5,5,5,9/1/2014,Quick and easy claim the only down side was numerous requests to review the claim process. Hopefully now I have done one the e-mails will stop!,I would recommend  to a friend,18,,,,
513,curler,Female,65 or over,5,Buyer review,Really easy website,5,5,5,5,NA,NA,NA,9/1/2014,I was amazed at how quickly I completed all the questions and also how much money I saved compared to my previous insurance company!,I would recommend  to a friend,18,,,,
514,Speedy68,Male,45 to 54,5,Buyer review,Great service,5,5,5,5,NA,NA,NA,9/1/2014,Good insurance. Covers all my needs and more. Quick and easy to do over the Internet. Highly recommended,I would recommend  to a friend,18,,,,
515,disappointedin,Male,35 to 44,1,Claim review,Claim Nightmare with ,NA,NA,1,NA,1,1,2,9/1/2014,What should have been a simple claim to repair a broken foul drain turned into a painful and long drawn out debarcle that took over 5 weeks for the works to be carried out. A family of 4 without sanitation for over a month particularly disgusting for us and the poor people sent to do the work! No surprise to say insurance has gone elsewhere this year. Not the experience expected if the ads are to be believed.,NA,18,,,,
516,emmielou,Female,25 to 34,5,Claim review,Ease of use,NA,NA,5,NA,5,4,5,9/1/2014,I had to claim for a new iphone after mine got dropped in the sink it was a very easy process. The courier collected the phone from me at a place f my choice in a one hour time slot. When they couldnt repair the phone they made a bank transfer. The whole incident was resolved quickly and easily.,I would recommend  to a friend,18,,,,
517,Blackie,Male,45 to 54,5,Buyer review,compared all policies and this 1 was the 1 for me,5,5,5,5,NA,NA,NA,9/1/2014,great experience purchasing my policy and great delight in telling my old 1 i would not be renewing with them as they were approx 200% dearer,I would recommend  to a friend,18,,,,
518,Alfie,Male,25 to 34,4,Buyer review,Difficult to amend docs,4,4,3,3,NA,NA,NA,9/1/2014,All was very smooth however there seemed to be a minor error on my documents that I have been unable to easily amend online after the time of purchase. I would have given a higher rating if I had been able to adjust easily after the purchase.,I would recommend  to a friend,18,,,,
519,Sandy,Male,65 or over,3,Buyer review,All Insurances in one place,2,3,4,4,NA,NA,NA,9/1/2014,Nice to Talk to a human on the phone Web site OK but there are always Questions.,I would recommend  to a friend,18,,,,
520,thenicks,Female,45 to 54,5,Buyer review,Excellent Service,5,5,5,5,NA,NA,NA,9/1/2014,Have 3 cars and the house with  and find their advisors to be really helpful and they deal with claims really quickly,I would recommend  to a friend,18,,,,
521,EDY2001UK,Male,35 to 44,5,Claim review,Satisified Customer,NA,NA,5,NA,5,5,5,9/1/2014,We had damaged a mobile phone outside the home and from claim to resolution the process was faultless. Many thanks .,I would recommend  to a friend,18,,,,
522,BAMBER,Male,55 to 64,4,Buyer review,Change for the better,4,4,5,5,NA,NA,NA,9/1/2014,I needed to feel secure with my home insurance the cheapest quote I had did not suit so I went with best value quote from a leading brand name. I now feel comfortable with my insurer and the level of cover should the worst ever occur.,I would recommend  to a friend,18,,,,
523,santa1955,Male,55 to 64,5,Buyer review, changed for the better,5,5,5,4,NA,NA,NA,8/1/2014,When I tried to insure this flat with  some years ago they declined on several reasons, near a river need to insure roof as part of rebuilding cost etc. This time no problems. No question about how close to a river ok to insure roof and cheaper than I expected.,I would recommend  to a friend,18,,,
524,Wroxham,Male,65 or over,3,Buyer review,?? Everything ok so far,4,5,5,5,NA,NA,NA,8/1/2014,Purchasing was efficient and easy - hope I do not have to claim but will comment then,I would recommend  to a friend,18,,,,
525,thefordlover,Male,55 to 64,5,Claim review,Great relief,NA,NA,5,NA,5,5,5,8/1/2014,Having just changed over to it came as a great suprise just how helpfull and friendly the advise and assistance we were given in our time of need when we had storm damage done to the family home before Christmas. We would and do recommend  to all our friends and family.,I would recommend  to a friend,18,,,,
526,Briggies,Male,65 or over,4,Buyer review,Good value for money,4,5,5,5,NA,NA,NA,8/1/2014,Excellent customer service and have. Trust in your company as having house insurance for past forty years have not to make claims so hope this continues but expect in case of an emergency trust the matter would be handled professionally,I would recommend  to a friend,18,,,,
527,NA,Male,65 or over,5,Buyer review,Efficiently handled,5,5,5,4,NA,NA,NA,8/1/2014,The entire process was handled online  progressed smoothly without hassle and was easily adjusted to achieve the exact cover I required and was very competitive. Hopefully it will never be necessary to make a claim but I believe thats when the true test of an insurance company occurs.,I would recommend  to a friend,18,,,,
528,Alfred,Male,35 to 44,5,Buyer review,Very helpful adviser. Clear explanations and thorough,5,4,5,5,NA,NA,NA,8/1/2014,Easy renewal. I called to discuss the price and the adviser was careful to consider various options and took time to discuss why other companies might be more or less expensive.,I would recommend  to a friend,18,,,,
529,Chunky63,Male,65 or over,5,Buyer review,Very easy to understand,5,5,4,5,NA,NA,NA,8/1/2014,Rep was so easy to confir with found it wasnt just them against me to get my money they really helped to get the best cover for the best value,I would recommend  to a friend,18,,,,
530,OlderEssexGuy,Male,65 or over,5,Buyer review,1st class service,5,5,5,5,NA,NA,NA,8/1/2014,I have a multicar insurance and I decided to ask what estimate for my Home & Contents would be. I was so surprised of the low insurance premium compared to other well known insurance companies. s customer service team were excellent and I have only praise for the service and the cost of my insurance,I would recommend  to a friend,18,,,,
531,hantshawk,Male,65 or over,5,Claim review,water leak repair,NA,NA,5,NA,5,5,5,8/1/2014,we had a break in the pipe outside the house and the company sent someone to find out where the leak wasthe staff at  were very good as were the contractors usedi could not fault any of them.It transpired that the leak was in the pavement so i neednt have used the insurance company as the water board( southern) will leak find for nothing. So i actually made an unnecessary claimbut at the time i didnt know thatt la vie,I would recommend  to a friend,18,,,,
